"id","source","organization_name","address_line","postal_code"
"gleif-HWUPKR0MPOU8FGXBT394","GLEIF","Apple Inc.","C/O C T Corporation System 330 N. Brand Blvd Suite 700, Glendale, US-CA","91203"
"sec-0000320193","SEC","Apple Inc.","ONE APPLE PARK WAY, CUPERTINO, CA","95014"
"sec-0000320193-former1","SEC","APPLE INC","ONE APPLE PARK WAY, CUPERTINO, CA","95014"
"sec-0000320193-former2","SEC","APPLE COMPUTER INC","ONE APPLE PARK WAY, CUPERTINO, CA","95014"
"sec-0000320193-former3","SEC","APPLE COMPUTER INC/ FA","ONE APPLE PARK WAY, CUPERTINO, CA","95014"
"gleif-INR2EJN1ERAN0W5ZP974","GLEIF","MICROSOFT CORPORATION","300 DESCHUTES WAY SW STE 208 MC-CSC1, TUMWATER, US-WA","98501"
"sec-0000789019","SEC","MICROSOFT CORP","ONE MICROSOFT WAY, REDMOND, WA","98052-6399"
"gleif-ZXTILKJKG63JELOEG630","GLEIF","AMAZON.COM, INC.","C/O CORPORATION SERVICE COMPANY 251 LITTLE FALLS DRIVE, WILMINGTON, US-DE","19808"
"sec-0001018724","SEC","AMAZON COM INC","410 TERRY AVENUE NORTH, SEATTLE, WA","98109"
"gleif-5493006MHB84DD0ZWV18","GLEIF","ALPHABET INC.","C/O CORPORATION SERVICE COMPANY 251 LITTLE FALLS DRIVE, WILMINGTON, US-DE","19808"
"sec-0001652044","SEC","Alphabet Inc.","1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA","94043"
"gleif-BQ4BKCS1HXDV9HN80Z93","GLEIF","META PLATFORMS, INC.","251 LITTLE FALLS DRIVE, WILMINGTON, US-DE","19808"
"sec-0001326801","SEC","Meta Platforms, Inc.","1 META WAY, MENLO PARK, CA","94025"
"sec-0001326801-former1","SEC","Facebook Inc","1 META WAY, MENLO PARK, CA","94025"
"gleif-549300S4KLFTLO7GSQ80","GLEIF","NVIDIA CORPORATION","C/O CORPORATION SERVICE COMPANY 251 LITTLE FALLS DRIVE, WILMINGTON, US-DE","19808"
"sec-0001045810","SEC","NVIDIA CORP","2788 SAN TOMAS EXPRESSWAY, SANTA CLARA, CA","95051"
"gleif-54930043XZGB27CTOV49","GLEIF","TESLA, INC.","C/O C T Corporation System 1999 Bryan Street Suite 900, Dallas, US-TX","75201"
"sec-0001318605","SEC","Tesla, Inc.","1 TESLA ROAD, AUSTIN, TX","78725"
"gleif-5493000C01ZX7D35SD85","GLEIF","BERKSHIRE HATHAWAY INC.","C/O THE CORPORATION TRUST COMPANY CORPORATION TRUST CENTER 1209 ORANGE ST, WILMINGTON, US-DE","19801"
"sec-0001067983","SEC","BERKSHIRE HATHAWAY INC","3555 FARNAM STREET, OMAHA, NE","68131"
"gleif-8I5DZWZKVSZI1NUHU748","GLEIF","JPMORGAN CHASE & CO.","CORPORATION TRUST CENTER 1209 ORANGE ST, WILMINGTON, US-DE","19801"
"sec-0000019617","SEC","JPMORGAN CHASE & CO","270 PARK AVENUE, NEW YORK, NY","10017"
"gleif-549300JZ4OKEHW3DPJ59","GLEIF","VISA INC.","C/O THE CORPORATION TRUST COMPANY CORPORATION TRUST CENTER 1209 ORANGE ST, WILMINGTON, US-DE","19801"
"sec-0001403161","SEC","VISA INC.","P.O. BOX 8999, SAN FRANCISCO, CA","94128-8999"
"gleif-549300G0CFPGEF6X2043","GLEIF","Johnson & Johnson","One Johnson & Johnson Plaza, New Brunswick, US-NJ","08933"
"sec-0000200406","SEC","JOHNSON & JOHNSON","ONE JOHNSON & JOHNSON PLZ, NEW BRUNSWICK, NJ","08933"
"gleif-Y87794H0US1R65VBXU25","GLEIF","WALMART INC.","C/O THE CORPORATION TRUST COMPANY CORPORATION TRUST CENTER 1209 ORANGE ST, WILMINGTON, US-DE","19801"
"sec-0000104169","SEC","Walmart Inc.","1 CUSTOMER DRIVE, BENTONVILLE, AR","72716"
"sec-0000104169-former1","SEC","Walmart Inc.","1 CUSTOMER DRIVE, BENTONVILLE, AR","72716"
"sec-0000104169-former2","SEC","WAL MART STORES INC","1 CUSTOMER DRIVE, BENTONVILLE, AR","72716"
"gleif-2572IBTT8CCZW6AU4141","GLEIF","THE PROCTER & GAMBLE COMPANY","C/O CT CORPORATION SYSTEM 4400 EASTON COMMONS WAY SUITE 125, COLUMBUS, US-OH","43219"
"sec-0000080424","SEC","PROCTER & GAMBLE Co","ONE PROCTER & GAMBLE PLAZA, CINCINNATI, OH","45202"
"gleif-AR5L2ODV9HN37376R084","GLEIF","MASTERCARD INCORPORATED","C/O THE CORPORATION TRUST COMPANY CORPORATION TRUST CENTER 1209 ORANGE ST, WILMINGTON, US-DE","19801"
"sec-0001141391","SEC","Mastercard Inc","2000 PURCHASE STREET, PURCHASE, NY","10577"
"gleif-QEKMOTMBBKA8I816DO57","GLEIF","THE HOME DEPOT, INC.","251 LITTLE FALLS DRIVE, WILMINGTON, US-DE","19808"
"sec-0000354950","SEC","HOME DEPOT, INC.","2455 PACES FERRY ROAD, ATLANTA, GA","30339-4024"
"gleif-J3WHBG0MTS7O8ZVMDC91","GLEIF","EXXONMOBIL HOLDINGS CORPORATION","C/O CORPORATION SERVICE COMPANY 211 EAST 7TH STREET SUITE 620, AUSTIN, US-TX","78701"
"sec-0002115436","SEC","ExxonMobil Holdings Corp","22777 SPRINGWOODS VILLAGE PARKWAY, SPRING, TX","77389"
"gleif-UWJKFUJFZ02DKWI3RY53","GLEIF","THE COCA-COLA COMPANY","C/O THE CORPORATION TRUST COMPANY CORPORATION TRUST CENTER 1209 ORANGE ST, WILMINGTON, US-DE","19801"
"sec-0000021344","SEC","COCA COLA CO","ONE COCA COLA PLAZA, ATLANTA, GA","30313"
"gleif-FJSUNZKFNQ5YPJ5OT455","GLEIF","PepsiCo, Inc.","C/O CT Corporation System 160 Mine Lake Ct Ste 200, Raleigh, US-NC","27615-6417"
