"id","source","organization_name","address_line","postal_code"
"gleif-HWUPKR0MPOU8FGXBT394","GLEIF","Apple Inc.","One Apple Park Way, Cupertino, US-CA","95014"
"sec-0000320193","SEC","Apple Inc.","ONE APPLE PARK WAY, CUPERTINO, CA","95014"
"sec-0000320193-former1","SEC","APPLE INC","ONE APPLE PARK WAY, CUPERTINO, CA","95014"
"sec-0000320193-former2","SEC","APPLE COMPUTER INC","ONE APPLE PARK WAY, CUPERTINO, CA","95014"
"sec-0000320193-former3","SEC","APPLE COMPUTER INC/ FA","ONE APPLE PARK WAY, CUPERTINO, CA","95014"
"gleif-INR2EJN1ERAN0W5ZP974","GLEIF","MICROSOFT CORPORATION","ONE MICROSOFT WAY, REDMOND, US-WA","98052-8300"
"sec-0000789019","SEC","MICROSOFT CORP","ONE MICROSOFT WAY, REDMOND, WA","98052-6399"
"gleif-ZXTILKJKG63JELOEG630","GLEIF","AMAZON.COM, INC.","410 Terry Ave North, Seattle, US-WA","98109"
"sec-0001018724","SEC","AMAZON COM INC","410 TERRY AVENUE NORTH, SEATTLE, WA","98109"
"gleif-5493006MHB84DD0ZWV18","GLEIF","ALPHABET INC.","1600 Amphitheatre Parkway, Mountain View, US-CA","94043"
"sec-0001652044","SEC","Alphabet Inc.","1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA","94043"
"gleif-BQ4BKCS1HXDV9HN80Z93","GLEIF","META PLATFORMS, INC.","1 META WAY, MENLO PARK, US-CA","94025"
"sec-0001326801","SEC","Meta Platforms, Inc.","1 META WAY, MENLO PARK, CA","94025"
"sec-0001326801-former1","SEC","Facebook Inc","1 META WAY, MENLO PARK, CA","94025"
"gleif-549300S4KLFTLO7GSQ80","GLEIF","NVIDIA CORPORATION","2788 SAN TOMAS EXPRESSWAY, SANTA CLARA, US-CA","95051"
"sec-0001045810","SEC","NVIDIA CORP","2788 SAN TOMAS EXPRESSWAY, SANTA CLARA, CA","95051"
"gleif-54930043XZGB27CTOV49","GLEIF","TESLA, INC.","1 Tesla Road, Austin, US-TX","78725"
"sec-0001318605","SEC","Tesla, Inc.","1 TESLA ROAD, AUSTIN, TX","78725"
"gleif-5493000C01ZX7D35SD85","GLEIF","BERKSHIRE HATHAWAY INC.","3555 Farnam Street Suite 1440, Omaha, US-NE","68131"
"sec-0001067983","SEC","BERKSHIRE HATHAWAY INC","3555 FARNAM STREET, OMAHA, NE","68131"
"gleif-8I5DZWZKVSZI1NUHU748","GLEIF","JPMORGAN CHASE & CO.","383 MADISON AVENUE, NEW YORK, US-NY","10179"
"sec-0000019617","SEC","JPMORGAN CHASE & CO","270 PARK AVENUE, NEW YORK, NY","10017"
"gleif-549300JZ4OKEHW3DPJ59","GLEIF","VISA INC.","PO Box 8999, San Francisco, US-CA","94128-8999"
"sec-0001403161","SEC","VISA INC.","P.O. BOX 8999, SAN FRANCISCO, CA","94128-8999"
"gleif-549300G0CFPGEF6X2043","GLEIF","Johnson & Johnson","One Johnson & Johnson Plaza, New Brunswick, US-NJ","08933"
"sec-0000200406","SEC","JOHNSON & JOHNSON","ONE JOHNSON & JOHNSON PLZ, NEW BRUNSWICK, NJ","08933"
"gleif-Y87794H0US1R65VBXU25","GLEIF","WALMART INC.","CORPORATION TRUST CENTER 1209 ORANGE ST, WILMINGTON, US-DE","19801"
"sec-0000104169","SEC","Walmart Inc.","1 CUSTOMER DRIVE, BENTONVILLE, AR","72716"
"sec-0000104169-former1","SEC","Walmart Inc.","1 CUSTOMER DRIVE, BENTONVILLE, AR","72716"
"sec-0000104169-former2","SEC","WAL MART STORES INC","1 CUSTOMER DRIVE, BENTONVILLE, AR","72716"
"gleif-2572IBTT8CCZW6AU4141","GLEIF","THE PROCTER & GAMBLE COMPANY","1 Procter & Gamble Plaza, Cincinnati, US-OH","45202"
"sec-0000080424","SEC","PROCTER & GAMBLE Co","ONE PROCTER & GAMBLE PLAZA, CINCINNATI, OH","45202"
